review_id,productname,ratings,sentiments,timestamp
1,Smartwatch A,2,"Not great, but not the worst either.",01-07-24
2,Tablet B,3,"It's okay, does the job but nothing special.",01-03-24
3,Headphones Z,1,"Terrible quality, broke within a week.",01-23-24
4,Tablet B,1,"Mediocre, expected better performance.",01-18-24
5,Tablet B,4,Amazing product! Works like a charm.,02-07-24
6,Smartphone Y,3,"Terrible quality, broke within a week.",01-15-24
7,Headphones Z,5,"Mediocre, expected better performance.",03-04-24
8,Headphones Z,3,Love it! Worth every penny.,03-29-24
9,Headphones Z,4,"Terrible quality, broke within a week.",01-28-24
10,Tablet B,4,"Fantastic device, highly recommend.",03-14-24
11,Smartwatch A,3,Amazing product! Works like a charm.,02-08-24
12,Headphones Z,4,"Mediocre, expected better performance.",02-26-24
13,Tablet B,3,"Mediocre, expected better performance.",01-17-24
14,Smartphone Y,2,"Mediocre, expected better performance.",03-26-24
15,Smartwatch A,3,Love it! Worth every penny.,03-30-24
16,Smartphone Y,3,"Terrible quality, broke within a week.",02-13-24
17,Smartwatch A,4,Love it! Worth every penny.,01-25-24
18,Tablet B,4,"Not great, but not the worst either.",01-17-24
19,Laptop X,1,Worst experience ever. Would not recommend.,01-13-24
20,Smartwatch A,1,Worst experience ever. Would not recommend.,03-24-24
21,Smartphone Y,2,"Not great, but not the worst either.",01-25-24
22,Tablet B,1,"Terrible quality, broke within a week.",03-08-24
23,Smartwatch A,3,"Fantastic device, highly recommend.",01-10-24
24,Laptop X,4,Love it! Worth every penny.,03-07-24
25,Laptop X,1,Amazing product! Works like a charm.,01-18-24
26,Headphones Z,1,"Mediocre, expected better performance.",03-26-24
27,Headphones Z,2,"Mediocre, expected better performance.",02-03-24
28,Smartphone Y,2,"Terrible quality, broke within a week.",01-08-24
29,Smartwatch A,3,"Fantastic device, highly recommend.",02-09-24
30,Smartwatch A,4,Worst experience ever. Would not recommend.,03-23-24
31,Headphones Z,2,Worst experience ever. Would not recommend.,02-11-24
32,Smartwatch A,1,"Mediocre, expected better performance.",02-10-24
33,Smartwatch A,4,"Terrible quality, broke within a week.",01-06-24
34,Laptop X,4,Love it! Worth every penny.,02-21-24
35,Headphones Z,1,Worst experience ever. Would not recommend.,01-26-24
